ID,Search Engine,Keyword,Location Code,Language Code,Task set,Task complete,Turnaround time,Cost
11062343-1214-0139-0000-4738aadfe0d0,google,seo tool,2840,en,06.11.2025 09:43:06 PM,06.11.2025 09:43:06 PM,00:00:00,0.002
11062339-1214-0139-0000-f64a71d8f113,google,seo tool,2840,en,06.11.2025 09:39:08 PM,06.11.2025 09:39:10 PM,00:00:02,0.002
11062338-1214-0139-0000-d5754a86abb2,google,seo tool,2840,en,06.11.2025 09:38:45 PM,06.11.2025 09:38:46 PM,00:00:01,0.002
11062332-1214-0139-0000-36cb25f2de1c,google,seo tool,2840,en,06.11.2025 09:32:11 PM,06.11.2025 09:32:14 PM,00:00:03,0.002
11062327-1214-0139-0000-237285ace47c,google,seo tool,2840,en,06.11.2025 09:27:56 PM,06.11.2025 09:28:02 PM,00:00:06,0.002
11062327-1214-0139-0000-878ce1b3fad8,google,seo tool,2840,en,06.11.2025 09:27:36 PM,06.11.2025 09:27:38 PM,00:00:02,0.002
11062326-1214-0139-0000-fea67e3dd15a,google,seo tool,2840,en,06.11.2025 09:26:32 PM,06.11.2025 09:26:35 PM,00:00:03,0.002
11062325-1214-0139-0000-83cfa25338f6,google,seo tools,2840,en,06.11.2025 09:25:29 PM,06.11.2025 09:25:40 PM,00:00:11,0.002
11061628-1214-0139-0000-c702c9c78103,google,ai chatting,2840,en,06.11.2025 02:28:48 PM,06.11.2025 02:29:01 PM,00:00:13,0.0155
11061628-1214-0139-0000-b15a19af5b1f,google,converse with ai,2840,en,06.11.2025 02:28:40 PM,06.11.2025 02:28:48 PM,00:00:08,0.0155
11061628-1214-0139-0000-0b550dbf1730,google,thinking exercises,2840,en,06.11.2025 02:28:31 PM,06.11.2025 02:28:40 PM,00:00:09,0.0155
11061628-1214-0139-0000-0f8aa7028609,google,critical thinking,2840,en,06.11.2025 02:28:16 PM,06.11.2025 02:28:30 PM,00:00:14,0.0155
11061628-1214-0139-0000-6152e497ecf0,google,conversaciones de ia,2840,en,06.11.2025 02:28:05 PM,06.11.2025 02:28:15 PM,00:00:10,0.0155
11061627-1214-0139-0000-9da7e31de2ff,google,voice conversations,2840,en,06.11.2025 02:27:52 PM,06.11.2025 02:28:05 PM,00:00:13,0.0155
11061627-1214-0139-0000-3d3a026e9117,google,outloud ai,2840,en,06.11.2025 02:27:36 PM,06.11.2025 02:27:52 PM,00:00:16,0.0155
11061627-1214-0139-0000-0b9b3d5a8fe9,google,ai conversations,2840,en,06.11.2025 02:27:25 PM,06.11.2025 02:27:36 PM,00:00:11,0.0155
11061627-1214-0139-0000-db1c239a23e9,google,natural voice,2840,en,06.11.2025 02:27:04 PM,06.11.2025 02:27:24 PM,00:00:20,0.0155
11061518-1214-0139-0000-83fb23bd13a8,google,outloud ai,2840,en,06.11.2025 01:18:15 PM,06.11.2025 01:18:23 PM,00:00:08,0.0155
11061511-1214-0139-0000-da6837fb81bc,google,outloud ai,2840,en,06.11.2025 01:11:33 PM,06.11.2025 01:11:43 PM,00:00:10,0.0155
11061444-1214-0139-0000-73b5aeb9a653,google,ai voice conversations,2840,en,06.11.2025 12:44:00 PM,06.11.2025 12:44:27 PM,00:00:27,0.0155
11061443-1214-0139-0000-1e5c8daeae35,google,natural conversations,2840,en,06.11.2025 12:43:37 PM,06.11.2025 12:44:00 PM,00:00:23,0.0155
11061443-1214-0139-0000-e0b046cc687a,google,outloud ai,2840,en,06.11.2025 12:43:10 PM,06.11.2025 12:43:36 PM,00:00:26,0.0155
11061443-1214-0139-0000-640effca7a68,google,ai conversations,2840,en,06.11.2025 12:43:01 PM,06.11.2025 12:43:09 PM,00:00:08,0.0155
11061442-1214-0139-0000-e0aa472cf92a,google,natural voice ai,2840,en,06.11.2025 12:42:49 PM,06.11.2025 12:43:00 PM,00:00:11,0.0155
11061442-1214-0139-0000-d56b4969eb97,google,natural voice,2840,en,06.11.2025 12:42:25 PM,06.11.2025 12:42:48 PM,00:00:23,0.0155
